,Model,fold,rho
0,Saluki C0,0,0.7399443281621008
1,Saluki C0,1,0.7481221303577955
2,Saluki C0,2,0.7702502976606923
3,Saluki C0,3,0.7144448075381091
4,Saluki C0,4,0.7547320002460282
5,Saluki C0,5,0.7492262970742863
6,Saluki C0,6,0.7384340698954546
7,Saluki C0,7,0.7494037879560201
8,Saluki C0,8,0.7270868605633697
9,Saluki C0,9,0.7503010959218678
10,Saluki C1,0,0.7614889572192975
11,Saluki C1,1,0.7545474435358432
12,Saluki C1,2,0.7704480492570938
13,Saluki C1,3,0.7169794362714182
14,Saluki C1,4,0.761868597820509
15,Saluki C1,5,0.7461788118171206
16,Saluki C1,6,0.7274939722714693
17,Saluki C1,7,0.75387181188093
18,Saluki C1,8,0.7337986453338708
19,Saluki C1,9,0.7502823643803914
20,Saluki C2,0,0.7648347598396562
21,Saluki C2,1,0.7520041543787465
22,Saluki C2,2,0.7670048350444597
23,Saluki C2,3,0.7127720341625915
24,Saluki C2,4,0.7629043613847168
25,Saluki C2,5,0.7601871545613955
26,Saluki C2,6,0.7388641838539572
27,Saluki C2,7,0.7479161080025679
28,Saluki C2,8,0.7308076343266621
29,Saluki C2,9,0.7511699639896631
30,Saluki C3,0,0.7619049454341134
31,Saluki C3,1,0.7519998188744643
32,Saluki C3,2,0.7666163606180043
33,Saluki C3,3,0.7155901664053246
34,Saluki C3,4,0.7580030962777129
35,Saluki C3,5,0.7322593709456313
36,Saluki C3,6,0.7410167302632965
37,Saluki C3,7,0.7525818726276966
38,Saluki C3,8,0.7375561399182075
39,Saluki C3,9,0.7534164699782364
40,Saluki C4,0,0.7680549576897311
41,Saluki C4,1,0.7491175426653863
42,Saluki C4,2,0.7615003584919406
43,Saluki C4,3,0.707853750670379
44,Saluki C4,4,0.7592867119712426
45,Saluki C4,5,0.7460137802173983
46,Saluki C4,6,0.7366883861818943
47,Saluki C4,7,0.7505456723329639
48,Saluki C4,8,0.7334824320236113
49,Saluki C4,9,0.755446065429606
0,CDS-LM,0,0.7575670676849174
1,Saluki Ensemble,0,0.7288909292434174
2,Saluki + CDS-LM,0,0.7529599340296473
3,CDS-LM,1,0.7549846595965426
4,Saluki Ensemble,1,0.7360296381357748
5,Saluki + CDS-LM,1,0.7535510156502981
6,CDS-LM,2,0.7460691931613371
7,Saluki Ensemble,2,0.7569372438733605
8,Saluki + CDS-LM,2,0.772178744499554
9,CDS-LM,3,0.7565165818996259
10,Saluki Ensemble,3,0.7720447476051638
11,Saluki + CDS-LM,3,0.782783546784186
12,CDS-LM,4,0.7438096888877549
13,Saluki Ensemble,4,0.763341726396149
14,Saluki + CDS-LM,4,0.7887661046115945
15,CDS-LM,5,0.7517970054523114
16,Saluki Ensemble,5,0.7411968906836092
17,Saluki + CDS-LM,5,0.7690186186471248
18,CDS-LM,6,0.7539441295503685
19,Saluki Ensemble,6,0.7345282982674423
20,Saluki + CDS-LM,6,0.7552379537614226
21,CDS-LM,7,0.736670778297373
22,Saluki Ensemble,7,0.7986552491066125
23,Saluki + CDS-LM,7,0.8115193218542822
24,CDS-LM,8,0.7506388692507038
25,Saluki Ensemble,8,0.7810037244437813
26,Saluki + CDS-LM,8,0.8028012418186238
27,CDS-LM,9,0.7634053898700689
28,Saluki Ensemble,9,0.7680805997402518
29,Saluki + CDS-LM,9,0.7874227540367466
